Player,Depth,Heuristic,Total Plays,Total Time,Total Leaves,Total Cuts,Won
1,2,center,31,0.2807431221008301,3958,538,0
2,3,center,31,1.3432369232177734,35999,1480,1

1,2,subtraction,24,0.06641912460327148,749,398,1
2,4,subtraction,22,5.6795594692230225,78460,13762,0

1,2,subtraction,42,0.3742947578430176,3326,2368,1
2,4,num_pieces,40,18.295299530029297,417197,37420,0

1,2,subtraction,37,0.2452237606048584,2685,1938,1
2,4,side,35,24.968520879745483,550059,43882,0

1,2,subtraction,60,0.3151516914367676,4316,3262,1
2,4,center,58,29.079768657684326,1029875,42915,0

1,2,num_pieces,20,0.05433797836303711,591,322,1
2,4,subtraction,18,5.190364599227905,70836,11673,0

1,2,num_pieces,27,0.19016671180725098,1280,643,1
2,4,num_pieces,25,12.289348125457764,138525,29905,0

1,2,num_pieces,36,0.1725163459777832,1575,894,1
2,4,side,34,16.505768537521362,265635,32424,0

1,2,num_pieces,64,0.8548297882080078,15528,14687,1
2,4,center,62,103.00198292732239,5853113,55868,0

1,2,side,20,0.06470561027526855,1053,318,1
2,4,subtraction,18,5.20956563949585,69173,11412,0

1,2,side,41,1.023789644241333,21232,4818,1
2,4,num_pieces,39,27.49272871017456,833036,44128,0

1,2,side,32,0.31138110160827637,6489,902,1
2,4,side,30,29.173293352127075,369414,52789,0

1,2,side,23,0.07771849632263184,1420,375,1
2,4,center,21,8.97929859161377,212036,14716,0

1,2,center,18,0.06269288063049316,1689,293,1
2,4,subtraction,16,5.047842979431152,68480,11097,0

1,2,center,35,0.4232969284057617,6800,1286,1
2,4,num_pieces,33,13.808952808380127,154913,34205,0

1,2,center,29,0.19593596458435059,3959,599,1
2,4,side,27,13.806159257888794,189163,27906,0

1,2,center,27,0.09708714485168457,2076,493,1
2,4,center,25,10.878814697265625,309910,17397,0

1,3,subtraction,66,2.186601161956787,144905,2821,1
2,1,subtraction,65,0.015934467315673828,1364,0,0

1,3,subtraction,66,2.1827683448791504,144905,2821,1
2,1,num_pieces,65,0.015829801559448242,1364,0,0

1,3,subtraction,54,1.380260705947876,87042,1650,1
2,1,side,53,0.01529240608215332,801,0,0

1,3,subtraction,26,0.7571053504943848,42205,853,1
